table	row	source_bed	lines	bytes	mtime	sha256_1MB	producer_job	threads	period_range	elapsed	peak_rss_gb_sacct	node	scorer	scorer_sha	scoring_rule	repo_commit
ablation	seeding index arm	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/seedabl/abl_index.bed	161187	9105781	2026-08-18T21:03:24	553227577059637a	6086510	4	1-2000	00:21:18	—	cpu-51	(byte comparison)	60d20caf95230bf6	GNU time, per arm; both arms ran inside job 6086510 so sacct cannot separate them. REV-2; BWT_SEED_KTUPLE=0, Col-CEN	294f8ac
ablation	seeding k-tuple arm	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/seedabl/abl_ktuple.bed	161187	9105781	2026-08-18T21:25:53	553227577059637a	6086510	4	1-2000	00:22:29	—	cpu-51	(byte comparison)	60d20caf95230bf6	GNU time, per arm; both arms ran inside job 6086510 so sacct cannot separate them. REV-2; BWT_SEED_KTUPLE=1, output byte-identical to the index arm	294f8ac
evidence	Col-CEN provenance	results/regen/regen_colcen.provenance.json	-	-	-	ec43310030cc9763	6110900	2	1-2000	00:40:11	2.16	cpu-49	-	-	machine-readable run provenance	0363d8b
evidence	human provenance	results/regen/regen_human.provenance.json	-	-	-	7b30fd9261b25f87	6110901	2	1-2000	12:38:42	28.08	cpu-49	-	-	machine-readable run provenance	0363d8b
evidence	maize provenance	results/regen/regen_maize.provenance.json	-	-	-	7dacb77f43c0e357	6124640	2	1-2000	15:51:03	28.45	cpu-51	-	-	machine-readable run provenance	0363d8b
evidence	human score	results/regen/score_table1_regen_v2.txt	-	5358	2026-08-29T00:39:34	27a9cf5bc2df6e9f	-	-	-	-	-	-	score_table1_regen.py	b85820bebdd1f139	regenerated v2 score output including tantan-w2000 extra row	0363d8b
evidence	maize score	results/regen/score_maize_regen.txt	-	6810	2026-08-29T00:39:06	27b70623dd6719b7	-	-	-	-	-	-	score_maize_postmerge_regen.py	-	three satellite catalogs; not the Table 3B/3C legacy convention	0363d8b
evidence	Table 3BC report	results/regen/table3bc_replacement.md	-	3390	2026-08-29T10:53:11	40e398cad52c3894	-	-	-	-	-	-	rescore_tables_3bc.py	39d30894d5a5c295	hard validation against all published old-BED cells then regenerated-BED replacement; scorer_sha names the historical producer at /data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/rescore_tables_3bc.py (the path in table3bc_provenance.json), not the later path-configurable repository copy (sha256 prefix e5202778dcf4a149). Corrects the unverifiable recorded prefix 39d308a0799f7e1f.	0363d8b
evidence	Table 3BC provenance	results/regen/table3bc_provenance.json	-	-	-	ddd619de1572ff8d	-	-	-	-	-	-	rescore_tables_3bc.py	39d30894d5a5c295	machine-readable scorer inputs, hashes, mtimes and settings; scorer_sha names the historical producer at /data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/rescore_tables_3bc.py (the path in table3bc_provenance.json), not the later path-configurable repository copy (sha256 prefix e5202778dcf4a149). Corrects the unverifiable recorded prefix 39d308a0799f7e1f.	0363d8b
evidence	maize extra scorer	scripts/scoring/score_maize_regen_evidence.py	-	7561	2026-08-29T19:25:51Z	84077c2b5f53d53f	-	-	-	-	-	-	self	84077c2b5f53d53f	producer for Table 3A/3A-b, coordinate-only post-merge and 100-200-bp totals	33f3ab6
evidence	maize extra output	results/regen/maize_extra_evidence.json	-	11994	2026-08-29T19:29:16Z	5d666a79ca086825	-	-	-	-	-	-	score_maize_regen_evidence.py	84077c2b5f53d53f	exact command, full input SHA-256, Table 3A re-score, post-merge sweep and band totals	0363d8b
1b	BWTandem	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000	12:38:42	28.08	cpu-49	score_table1_regen.py	b85820bebdd1f139	p<=100 post-hoc filter of regenerated full-range BED, current Table 1b arm (C-2); scores 78.87% region recall / 50.13% precision in results/regen/score_table1_p100.txt, BWTandem baseline MATCHED RANGE block. Native F remains in Table 1d and is only a Table 1b sensitivity analysis.	0363d8b
1d	BWTandem-P	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_P_p100_0363.bed	2085734	104575842	2026-08-30T16:23:22	2c75572988244b90	6141841_0	4	1-100	03:12:24	30.56	cpu-50	score_table1_regen.py	b85820bebdd1f139	native --max-period 100, catch-all off	0363d8b
1d	BWTandem-B	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_B_p100_0363.bed	3410417	163753247	2026-08-30T18:47:16	518a32ffd114e5a2	6143150_1	4	1-100	04:31:17	47.56	cpu-48	score_table1_regen.py	b85820bebdd1f139	native --max-period 100, catch-all id 0.76 maxP 50	0363d8b
1d	BWTandem-F	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_F_p100_0363.bed	3993151	187421566	2026-08-30T20:37:11	7948a199cbb36944	6143150_2	4	1-100	05:22:09	40.24	cpu-51	score_table1_regen.py	b85820bebdd1f139	native --max-period 100, catch-all id 0.72 min 3 copies	0363d8b
1d	BWTandem-H	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_H_p100_0363.bed	4355741	206135724	2026-08-30T20:28:08	c3456cdcf4d0f98c	6143150_3	4	1-100	04:04:46	39.11	cpu-50	score_table1_regen.py	b85820bebdd1f139	native --max-period 100, catch-all id 0.72	0363d8b
S3	pass disabled	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_idsweep_off_p2000_0363.bed	2770930	157593719	2026-08-31T01:12:19	81653f7c6124fa6f	6143151_0	4	1-2000	08:46:06	33.29	cpu-49	score_table1_regen.py	b85820bebdd1f139	full-range identity-sweep arm, catch-all off	0363d8b
S3	0.80	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_idsweep_0.80_p2000_0363.bed	3304372	180941288	2026-08-31T02:33:41	0712e30ba222cc14	6143151_1	4	1-2000	07:46:26	46.73	cpu-48	score_table1_regen.py	b85820bebdd1f139	full-range identity-sweep arm, id 0.80	0363d8b
S3	0.76	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_idsweep_0.76_p2000_0363.bed	3322038	181920392	2026-08-31T03:53:57	8ea74fce0db1ed20	6143151_2	4	1-2000	07:25:50	42.60	cpu-50	score_table1_regen.py	b85820bebdd1f139	full-range identity-sweep arm, id 0.76	0363d8b
S3	0.72	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_idsweep_0.72_p2000_0363.bed	4014108	211949715	2026-08-31T05:07:35	875f62bc1954ac04	6143151_3	4	1-2000	08:30:26	48.70	cpu-51	score_table1_regen.py	b85820bebdd1f139	full-range identity-sweep arm, id 0.72 (reproduces regen_human.bed sorted-content byte-identically)	0363d8b
S3	0.68	/data/gpfs/assoc/pgl/devel/exp1_human/regen/maize_rescore/native_p100_0363/out/bwt_human_idsweep_0.68_p2000_0363.bed	4221750	222094827	2026-08-31T08:16:18	3290a48b14134467	6143151_4	4	1-2000	07:49:25	46.50	cpu-48	score_table1_regen.py	b85820bebdd1f139	full-range identity-sweep arm, id 0.68	0363d8b
S4-superseded	BWTandem	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000				score_one_to_one.py	3e84c9764cc15b1a	one-to-one max-cardinality, reciprocal 0.50, full range, region truth (scoring job 6145846)	4a1d368
S4-superseded	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_human_GCA.bed	3347216	133206186	2026-08-03T10:46:38	478bd146899db79c	published	2	1-100 (default)				score_one_to_one.py	3e84c9764cc15b1a	one-to-one max-cardinality, reciprocal 0.50, full range, region truth (scoring job 6145846)	4a1d368
S4-superseded	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_000001405.15_GRCh38_genomic_output.bed	3469229	137897003	2026-07-22T03:16:42	4097f36e06c52699	published	-	n/a				score_one_to_one.py	3e84c9764cc15b1a	one-to-one max-cardinality, reciprocal 0.50, full range, region truth (scoring job 6145846)	4a1d368
S4-superseded	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_000001405.15_GRCh38_genomic_output.bed	1011405	328045521	2026-07-22T03:16:04	6e3c482e8d77a8bc	published	-	max 500 (no min-period parameter)				score_one_to_one.py	3e84c9764cc15b1a	one-to-one max-cardinality, reciprocal 0.50, full range, region truth (scoring job 6145846)	4a1d368
S4-superseded	BWTandem (annotated truth)	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000				score_one_to_one.py	3e84c9764cc15b1a	one-to-one max-cardinality, reciprocal 0.50, full range, top-score-annotation truth (scoring job 6145846)	4a1d368
S4-superseded	ULTRA (annotated truth)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_human_GCA.bed	3347216	133206186	2026-08-03T10:46:38	478bd146899db79c	published	2	1-100 (default)				score_one_to_one.py	3e84c9764cc15b1a	one-to-one max-cardinality, reciprocal 0.50, full range, top-score-annotation truth (scoring job 6145846)	4a1d368
S4-superseded	tantan (annotated truth)	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_000001405.15_GRCh38_genomic_output.bed	3469229	137897003	2026-07-22T03:16:42	4097f36e06c52699	published	-	n/a				score_one_to_one.py	3e84c9764cc15b1a	one-to-one max-cardinality, reciprocal 0.50, full range, top-score-annotation truth (scoring job 6145846)	4a1d368
S4	BWTandem	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, region truth (scoring job 6146229; supersedes 6145846)	43543da
S4	ULTRA	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_human_GCA.bed	3347216	133206186	2026-08-03T10:46:38	478bd146899db79c	published	2	1-100 (default)				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, region truth (scoring job 6146229; supersedes 6145846); --pred-col5 period	43543da
S4	tantan	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_000001405.15_GRCh38_genomic_output.bed	3469229	137897003	2026-07-22T03:16:42	4097f36e06c52699	published	-	n/a				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, region truth (scoring job 6146229; supersedes 6145846); --pred-col5 period	43543da
S4	TRF	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_000001405.15_GRCh38_genomic_output.bed	1011405	328045521	2026-07-22T03:16:04	6e3c482e8d77a8bc	published	-	max 500 (no min-period parameter)				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, region truth (scoring job 6146229; supersedes 6145846); --pred-col5 period --pred-motif-is-sequence	43543da
S4	TRASH	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_000001405.15_GRCh38_genomic_trash.bed	5332	630487	2026-07-22T03:16:42	0e4db3d24e5df301	published	-	n/a				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, region truth (scoring job 6146229; supersedes 6145846); --pred-col5 period	43543da
S4	BWTandem (annotation truth)	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth primitive-reduced (scoring job 6146229; supersedes 6145846)	43543da
S4	ULTRA (annotation truth)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_human_GCA.bed	3347216	133206186	2026-08-03T10:46:38	478bd146899db79c	published	2	1-100 (default)				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth primitive-reduced (scoring job 6146229; supersedes 6145846); --pred-col5 period	43543da
S4	tantan (annotation truth)	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_000001405.15_GRCh38_genomic_output.bed	3469229	137897003	2026-07-22T03:16:42	4097f36e06c52699	published	-	n/a				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth primitive-reduced (scoring job 6146229; supersedes 6145846); --pred-col5 period	43543da
S4	TRF (annotation truth)	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_000001405.15_GRCh38_genomic_output.bed	1011405	328045521	2026-07-22T03:16:04	6e3c482e8d77a8bc	published	-	max 500 (no min-period parameter)				score_one_to_one.py	06fa03a1edad3b90	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth primitive-reduced (scoring job 6146229; supersedes 6145846); --pred-col5 period --pred-motif-is-sequence	43543da
S4	TRASH (annotation truth)	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_000001405.15_GRCh38_genomic_trash.bed	5332	630487	2026-07-22T03:16:42	0e4db3d24e5df301	published	-	n/a				score_one_to_one.py	1972ef4727de1613	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth primitive-reduced; TRF annotation JSON rescored 2026-09-03 with period-column fix (supersedes this arm of scoring job 6146229); --pred-col5 period --pred-motif-is-sequence; period exact 63.53%; only numerical period fields changed, plus strata_spec metadata added; results/one_to_one/one_to_one_trf_annot_r50.json	903245c
S4	BWTandem (annot, split bands)	results/beds/bwtandem_human.bed.gz	4014108	59840593	2026-08-29T11:58:48	d06498c32d4258cf	6110901	2	1-2000				score_one_to_one.py	91338484599efbeb	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth, split strata 101-500/501-2000 (scoring job 6146343; verifies 6146229 metric-identically; zero truths above period 500)	fd21e38
S4	ULTRA (annot, split bands)	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_human_GCA.bed	3347216	133206186	2026-08-03T10:46:38	478bd146899db79c	published	2	1-100 (default)				score_one_to_one.py	91338484599efbeb	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth, split strata 101-500/501-2000 (scoring job 6146343; verifies 6146229 metric-identically; zero truths above period 500); --pred-col5 period	fd21e38
S4	tantan (annot, split bands)	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/tantan/GCA_000001405.15_GRCh38_genomic_output.bed	3469229	137897003	2026-07-22T03:16:42	4097f36e06c52699	published	-	n/a				score_one_to_one.py	91338484599efbeb	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth, split strata 101-500/501-2000 (scoring job 6146343; verifies 6146229 metric-identically; zero truths above period 500); --pred-col5 period	fd21e38
S4	TRF (annot, split bands)	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_000001405.15_GRCh38_genomic_output.bed	1011405	328045521	2026-07-22T03:16:04	6e3c482e8d77a8bc	published	-	max 500 (no min-period parameter)				score_one_to_one.py	91338484599efbeb	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth, split strata 101-500/501-2000 (scoring job 6146343; verifies 6146229 metric-identically; zero truths above period 500); --pred-col5 period --pred-motif-is-sequence; SUPERSEDED for period agreement only: this split-band JSON predates the TRF period fix and its zero period scores are obsolete. Matching, boundaries and strata remain valid; use one_to_one_trf_annot_r50.json for corrected period statistics.	fd21e38
S4	TRASH (annot, split bands)	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_000001405.15_GRCh38_genomic_trash.bed	5332	630487	2026-07-22T03:16:42	0e4db3d24e5df301	published	-	n/a				score_one_to_one.py	91338484599efbeb	one-to-one max-cardinality, reciprocal 0.50, truth-chroms-only, annotation truth, split strata 101-500/501-2000 (scoring job 6146343; verifies 6146229 metric-identically; zero truths above period 500); --pred-col5 period	fd21e38
1a	longdust (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_human_default.bed	1428327	34088070	2026-09-02T06:41:56	aca6b043b525dcb2	6146419	1	LC intervals (no period model)	0:27:56	0.47	cpu-48	score_2026_tools.py	179e77b6a6951ff8	frozen score_table1 SOURCES override (scoring job 6146742; deposited log = clean re-run 6147179 @89ada02, cells identical); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
1a	longdust -k8 -w20000 (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_human_k8w20000.bed	1154976	27562932	2026-09-02T06:41:59	1aef28e5c7bf8478	6146419	1	LC intervals (no period model)	2:00:36	0.47	cpu-48	score_2026_tools.py	179e77b6a6951ff8	frozen score_table1 SOURCES override (scoring job 6146742; deposited log = clean re-run 6147179 @89ada02, cells identical); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
1a	AniAnn's (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_human.bed	364	13599	2026-09-02T06:42:00	ffff8770209bfeb4	6146422	2	window >=1000	2:19:13	0.53	cpu-51	score_2026_tools.py	179e77b6a6951ff8	frozen score_table1 SOURCES override (scoring job 6146742; deposited log = clean re-run 6147179 @89ada02, cells identical); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
2	longdust (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_default.bed	47079	1043950	2026-09-02T06:42:00	b98d361959971aa2	6146419	1	LC intervals (no period model)	0:01:56	0.06	cpu-48	score_colcen.py	585d55558609d6e5	frozen score_colcen LABEL:PATH (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
2	longdust -k8 -w20000 (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_k8w20000.bed	30664	679734	2026-09-02T06:42:00	b53b65a9f69a199b	6146419	1	LC intervals (no period model)	0:10:23	0.06	cpu-48	score_colcen.py	585d55558609d6e5	frozen score_colcen LABEL:PATH (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
2	AniAnn's (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_colcen.bed	60	2161	2026-09-02T06:42:00	0ca2eb16f3996355	6146483	2	window >=1000	0:07:18	0.48	cpu-48	score_colcen.py	585d55558609d6e5	frozen score_colcen LABEL:PATH (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
3B	longdust (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_maize_default.bed	220026	6599682	2026-09-02T06:41:59	d47cfc46e55f961a	6146419	1	LC intervals (no period model)	0:18:00	0.58	cpu-48	score_2026_tools.py	179e77b6a6951ff8	frozen score_maize_postmerge TOOLS override (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
3B	longdust -k8 -w20000 (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_maize_k8w20000.bed	150894	4527842	2026-09-02T06:42:00	9af64cbd1500163f	6146419	1	LC intervals (no period model)	3:53:40	0.58	cpu-48	score_2026_tools.py	179e77b6a6951ff8	frozen score_maize_postmerge TOOLS override (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
3B	AniAnn's (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed	475	20577	2026-09-02T06:42:00	87f4183b3b72f865	6146484	2	window >=1000	1:34:26	0.55	cpu-50	score_2026_tools.py	179e77b6a6951ff8	frozen score_maize_postmerge TOOLS override (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
3C	longdust (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_maize_default.bed	220026	6599682	2026-09-02T06:41:59	d47cfc46e55f961a	6146419	1	LC intervals (no period model)	0:18:00	0.58	cpu-48	score_2026_tools.py	179e77b6a6951ff8	frozen score_maize_postmerge TOOLS override (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
3C	longdust -k8 -w20000 (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_maize_k8w20000.bed	150894	4527842	2026-09-02T06:42:00	9af64cbd1500163f	6146419	1	LC intervals (no period model)	3:53:40	0.58	cpu-48	score_2026_tools.py	179e77b6a6951ff8	frozen score_maize_postmerge TOOLS override (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
3C	AniAnn's (2026)	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_maize.bed	475	20577	2026-09-02T06:42:00	87f4183b3b72f865	6146484	2	window >=1000	1:34:26	0.55	cpu-50	score_2026_tools.py	179e77b6a6951ff8	frozen score_maize_postmerge TOOLS override (scoring job 6146742); protocol docs/2026-09-01; elapsed and peak_rss_gb_sacct are per-arm GNU-time values in GiB, not sacct cgroup maxima	7b2113d
range-rep	p100-r1	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/rangerep0363/rep1_p100.bed	3993151	187421566	2026-09-03T17:50:15	450efc86f2b916d1	6147698	4	1-100	04:01:05	41.09	cpu-15	—	—	release-build range-cost replicate; both arms ran sequentially in one job on the same node; per-arm elapsed and GNU-time MaxRSS are deposited in results/range_cost_0363d8b/. peak_rss_gb_sacct is the job-level cgroup maximum over both arms — sacct cannot separate them, since the two arms run sequentially in one job. The per-arm /usr/bin/time -v maximum, which is the max over child processes and not the concurrent total, was 17.21 GiB	0363d8b
range-rep	p2000-r1	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/rangerep0363/rep1_p2000.bed	4014108	211949715	2026-09-04T01:08:36	875f62bc1954ac04	6147698	4	1-2000	07:18:21	41.09	cpu-15	—	—	release-build range-cost replicate; both arms ran sequentially in one job on the same node; per-arm elapsed and GNU-time MaxRSS are deposited in results/range_cost_0363d8b/. peak_rss_gb_sacct is the job-level cgroup maximum over both arms — sacct cannot separate them, since the two arms run sequentially in one job. The per-arm /usr/bin/time -v maximum, which is the max over child processes and not the concurrent total, was 17.37 GiB	0363d8b
range-rep	p100-r2	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/rangerep0363/rep2_p100.bed	3993151	187421566	2026-09-03T17:59:47	450efc86f2b916d1	6147699	4	1-100	04:06:38	42.67	cpu-28	—	—	release-build range-cost replicate; both arms ran sequentially in one job on the same node; per-arm elapsed and GNU-time MaxRSS are deposited in results/range_cost_0363d8b/. peak_rss_gb_sacct is the job-level cgroup maximum over both arms — sacct cannot separate them, since the two arms run sequentially in one job. The per-arm /usr/bin/time -v maximum, which is the max over child processes and not the concurrent total, was 17.22 GiB	0363d8b
range-rep	p2000-r2	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/rangerep0363/rep2_p2000.bed	4014108	211949715	2026-09-04T01:16:28	875f62bc1954ac04	6147699	4	1-2000	07:16:41	42.67	cpu-28	—	—	release-build range-cost replicate; both arms ran sequentially in one job on the same node; per-arm elapsed and GNU-time MaxRSS are deposited in results/range_cost_0363d8b/. peak_rss_gb_sacct is the job-level cgroup maximum over both arms — sacct cannot separate them, since the two arms run sequentially in one job. The per-arm /usr/bin/time -v maximum, which is the max over child processes and not the concurrent total, was 17.37 GiB	0363d8b
range-rep	p100-r3	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/rangerep0363/rep3_p100.bed	3993151	187421566	2026-09-03T17:54:32	450efc86f2b916d1	6147700	4	1-100	04:01:22	44.62	cpu-28	—	—	release-build range-cost replicate; both arms ran sequentially in one job on the same node; per-arm elapsed and GNU-time MaxRSS are deposited in results/range_cost_0363d8b/. peak_rss_gb_sacct is the job-level cgroup maximum over both arms — sacct cannot separate them, since the two arms run sequentially in one job. The per-arm /usr/bin/time -v maximum, which is the max over child processes and not the concurrent total, was 17.22 GiB	0363d8b
range-rep	p2000-r3	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/rangerep0363/rep3_p2000.bed	4014108	211949715	2026-09-04T01:02:17	875f62bc1954ac04	6147700	4	1-2000	07:07:45	44.62	cpu-28	—	—	release-build range-cost replicate; both arms ran sequentially in one job on the same node; per-arm elapsed and GNU-time MaxRSS are deposited in results/range_cost_0363d8b/. peak_rss_gb_sacct is the job-level cgroup maximum over both arms — sacct cannot separate them, since the two arms run sequentially in one job. The per-arm /usr/bin/time -v maximum, which is the max over child processes and not the concurrent total, was 17.38 GiB	0363d8b
