table	manuscript_line	row	column	printed	artifact_value	verdict	source
2	199	ULTRA	Cen. Coverage (%)	84.44	84.43952210203324	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_colcen_p500.bed; pass3-checks.py colcen
2	199	ULTRA	CEN180 Count	766	766	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_colcen_p500.bed; pass3-checks.py colcen
2	199	ULTRA	CEN180 BP Prec. (%)	58.08	58.078330061295475	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_colcen_p500.bed; pass3-checks.py colcen
2	199	ULTRA	CEN180 Monomer Recall (%)	99.80	99.80054886552794	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_colcen_p500.bed; pass3-checks.py colcen
2	199	ULTRA	Runtime (h)	10.12	10.11972222222222222222222222	REJECTED	sacct:5981977.batch
2	199	ULTRA	Memory (GiB)	4.20	4.20154571533203125	REJECTED	sacct:5981977.batch
2	200	BWTandem	Regions	160,883	160883	REJECTED	results/beds/bwtandem_colcen.bed.gz; pass3-checks.py colcen
2	200	BWTandem	Cen. Coverage (%)	84.54	84.53696839490526	REJECTED	results/beds/bwtandem_colcen.bed.gz; pass3-checks.py colcen
2	200	BWTandem	CEN180 Count	1,533	1533	REJECTED	results/beds/bwtandem_colcen.bed.gz; pass3-checks.py colcen
2	200	BWTandem	CEN180 BP Prec. (%)	57.08	57.08007163953652	REJECTED	results/beds/bwtandem_colcen.bed.gz; pass3-checks.py colcen
2	200	BWTandem	CEN180 Monomer Recall (%)	99.72	99.71506980789707	REJECTED	results/beds/bwtandem_colcen.bed.gz; pass3-checks.py colcen
2	200	BWTandem	Runtime (h)	0.67	0.6697222222222222222222222222	REJECTED	sacct:6110900.batch
2	200	BWTandem	Memory (GiB)	2.16	2.163787841796875	REJECTED	sacct:6110900.batch
2	201	tantan	Regions	147,654	147654	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_colcen_w500.bed; pass3-checks.py colcen
2	201	tantan	Cen. Coverage (%)	81.50	81.49945794078813	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_colcen_w500.bed; pass3-checks.py colcen
2	201	tantan	CEN180 Count	5,749	5749	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_colcen_w500.bed; pass3-checks.py colcen
2	201	tantan	CEN180 BP Prec. (%)	76.88	76.8789368533847	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_colcen_w500.bed; pass3-checks.py colcen
2	201	tantan	CEN180 Monomer Recall (%)	99.24	99.23668701168214	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_colcen_w500.bed; pass3-checks.py colcen
2	201	tantan	Runtime (h)	0.20	0.2002777777777777777777777778	REJECTED	sacct:6085141.batch
2	201	tantan	Memory (GiB)	0.09	0.0959930419921875	CONFIRMED	sacct:6085141.batch
2	202	NCRF	Regions	74	74	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	202	NCRF	Cen. Coverage (%)	85.17	85.16958027126311	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	202	NCRF	CEN180 Count	0	0	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	202	NCRF	CEN180 BP Prec. (%)	95.82	95.82008366121647	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	202	NCRF	CEN180 Monomer Recall (%)	99.63	99.63259001544621	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/Col-CEN_v1.2_output.bed; pass3-checks.py colcen
2	202	NCRF	Runtime (h)	0.80	0.7954527777777777777777777778	REJECTED	results/competitor_logs/ncrf__Col-CEN_v1.2_run.log
2	202	NCRF	Memory (GiB)	80.96	80.960540771484375	REJECTED	results/competitor_logs/ncrf__Col-CEN_v1.2_run.log
2	203	TRASH (de novo)	Regions	234	234	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/Col-CEN_v1.2_trash_denovo.bed; pass3-checks.py colcen
2	203	TRASH (de novo)	Cen. Coverage (%)	85.03	85.03234451226379	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/Col-CEN_v1.2_trash_denovo.bed; pass3-checks.py colcen
2	203	TRASH (de novo)	CEN180 Count	74	74	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/Col-CEN_v1.2_trash_denovo.bed; pass3-checks.py colcen
2	203	TRASH (de novo)	CEN180 BP Prec. (%)	86.40	86.40425535821501	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/Col-CEN_v1.2_trash_denovo.bed; pass3-checks.py colcen
2	203	TRASH (de novo)	CEN180 Monomer Recall (%)	99.69	99.69107568645681	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/Col-CEN_v1.2_trash_denovo.bed; pass3-checks.py colcen
2	203	TRASH (de novo)	Runtime (h)	5.79	5.791666666666666666666666667	REJECTED	results/competitor_logs/trash__Col-CEN_v1.2_denovo_run.log
2	203	TRASH (de novo)	Memory (GiB)	1.29	1.294376373291015625	REJECTED	results/competitor_logs/trash__Col-CEN_v1.2_denovo_run.log
2	204	TRASH (template)	Regions	397	397	REJECTED	results/regen/colcen_trash_template_union.bed; pass3-checks.py colcen
2	204	TRASH (template)	Cen. Coverage (%)	85.03	85.03234451226379	REJECTED	results/regen/colcen_trash_template_union.bed; pass3-checks.py colcen
2	204	TRASH (template)	CEN180 Count	115	115	REJECTED	results/regen/colcen_trash_template_union.bed; pass3-checks.py colcen
2	204	TRASH (template)	CEN180 BP Prec. (%)	86.40	86.40425535821501	REJECTED	results/regen/colcen_trash_template_union.bed; pass3-checks.py colcen
2	204	TRASH (template)	CEN180 Monomer Recall (%)	99.69	99.69107568645681	REJECTED	results/regen/colcen_trash_template_union.bed; pass3-checks.py colcen
2	204	TRASH (template)	Runtime (h)	31.69	31.68583333333333333333333333	REJECTED	results/competitor_logs/trash__Col-CEN_v1.2_CEN159_run.log + results/competitor_logs/trash__Col-CEN_v1.2_CEN178_run.log
2	204	TRASH (template)	Memory (GiB)	2.63	2.6337432861328125	REJECTED	results/competitor_logs/trash__Col-CEN_v1.2_CEN159_run.log + results/competitor_logs/trash__Col-CEN_v1.2_CEN178_run.log
2	205	longdust (2026)	Regions	46,975	46975	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_default.bed; pass3-checks.py colcen
2	205	longdust (2026)	Cen. Coverage (%)	84.76	84.75733643797972	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_default.bed; pass3-checks.py colcen
2	205	longdust (2026)	CEN180 Count	0	0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_default.bed; pass3-checks.py colcen
2	205	longdust (2026)	CEN180 BP Prec. (%)	81.79	81.79362009596693	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_default.bed; pass3-checks.py colcen
2	205	longdust (2026)	CEN180 Monomer Recall (%)	99.86	99.86203380171858	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_default.bed; pass3-checks.py colcen
2	205	longdust (2026)	Runtime (h)	0.03	0.0321	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_colcen_default.time
2	205	longdust (2026)	Memory (GiB)	0.06	0.062961578369140625	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_colcen_default.time
2	206	longdust `-k8 -w20000` (2026)	Regions	30,602	30602	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_k8w20000.bed; pass3-checks.py colcen
2	206	longdust `-k8 -w20000` (2026)	Cen. Coverage (%)	85.02	85.01646041210923	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_k8w20000.bed; pass3-checks.py colcen
2	206	longdust `-k8 -w20000` (2026)	CEN180 Count	0	0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_k8w20000.bed; pass3-checks.py colcen
2	206	longdust `-k8 -w20000` (2026)	CEN180 BP Prec. (%)	81.31	81.30570057007357	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_k8w20000.bed; pass3-checks.py colcen
2	206	longdust `-k8 -w20000` (2026)	CEN180 Monomer Recall (%)	99.85	99.84553784322841	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/longdust_colcen_k8w20000.bed; pass3-checks.py colcen
2	206	longdust `-k8 -w20000` (2026)	Runtime (h)	0.17	0.1730972222222222222222222222	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_colcen_k8w20000.time
2	206	longdust `-k8 -w20000` (2026)	Memory (GiB)	0.06	0.063266754150390625	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/longdust_colcen_k8w20000.time
2	207	AniAnn's (2026)	Regions	60	60	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_colcen.bed; pass3-checks.py colcen
2	207	AniAnn's (2026)	Cen. Coverage (%)	86.97	86.9655193205327	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_colcen.bed; pass3-checks.py colcen
2	207	AniAnn's (2026)	CEN180 Count	19	19	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_colcen.bed; pass3-checks.py colcen
2	207	AniAnn's (2026)	CEN180 BP Prec. (%)	83.41	83.4101786041151	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_colcen.bed; pass3-checks.py colcen
2	207	AniAnn's (2026)	CEN180 Monomer Recall (%)	99.24	99.23818664427215	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/beds/anianns_colcen.bed; pass3-checks.py colcen
2	207	AniAnn's (2026)	Runtime (h)	0.12	0.1217805555555555555555555556	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_colcen.time
2	207	AniAnn's (2026)	Memory (GiB)	0.48	0.480621337890625	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/tools2026/runs/anianns_colcen.time
3A	220	TRF	Total SSR (bp)	4,793,515	4793515	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a
3A	220	TRF	Regions	29,559	29559	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a
3A	220	TRF	TAG Arrays	5,263	5263	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a
3A	220	TRF	Longest TAG (kb)	562.79	562.788	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a
3A	220	TRF	Runtime (h)	5.2	5.216944444444444444444444444	REJECTED	results/competitor_logs/trf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3A_microsatellite_run.log
3A	220	TRF	Memory (GiB)	1.20	1.196598052978515625	REJECTED	results/competitor_logs/trf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3A_microsatellite_run.log
3A	221	ULTRA	Total SSR (bp)	46,963,400	46963400	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a
3A	221	ULTRA	Regions	1,114,556	1114556	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a
3A	221	ULTRA	TAG Arrays	4,554	4554	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a
3A	221	ULTRA	Longest TAG (kb)	29.12	29.119	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a
3A	221	ULTRA	Runtime (h)	0.23	0.2299611111111111111111111111	REJECTED	results/competitor_logs/ultra__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ultra_exp3A_microsatellite_run.log
3A	221	ULTRA	Memory (GiB)	2.23	2.225147247314453125	REJECTED	results/competitor_logs/ultra__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ultra_exp3A_microsatellite_run.log
3A	222	BWTandem	Total SSR (bp)	41,313,352	41313352	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt
3A	222	BWTandem	Regions	1,508,788	1508788	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt
3A	222	BWTandem	TAG Arrays	38,999	38999	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt
3A	222	BWTandem	Longest TAG (kb)	175.60	175.598	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt
3A	222	BWTandem	Runtime (h)	15.9	15.85083333333333333333333333	REJECTED	sacct:6124640.batch
3A	222	BWTandem	Memory (GiB)	28.45	28.449993133544921875	REJECTED	sacct:6124640.batch
3A	223	tantan	Total SSR (bp)	54,933,424	54933424	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a
3A	223	tantan	Regions	1,303,967	1303967	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a
3A	223	tantan	TAG Arrays	181,205	181205	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a
3A	223	tantan	Longest TAG (kb)	210.09	210.094	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a
3A	223	tantan	Runtime (h)	0.5	0.5481861111111111111111111111	REJECTED	results/competitor_logs/tantan__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_tantan_exp3A_microsatellite_run.log
3A	223	tantan	Memory (GiB)	0.50	0.50218963623046875	REJECTED	results/competitor_logs/tantan__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_tantan_exp3A_microsatellite_run.log
3A	224	NCRF	Total SSR (bp)	2,604,968	2604968	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ncrf_TAG_exp3A_microsatellite.bed; scan_3a
3A	224	NCRF	Regions	214	214	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ncrf_TAG_exp3A_microsatellite.bed; scan_3a
3A	224	NCRF	TAG Arrays	214	214	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ncrf_TAG_exp3A_microsatellite.bed; scan_3a
3A	224	NCRF	Longest TAG (kb)	235.40	235.404	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/ncrf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ncrf_TAG_exp3A_microsatellite.bed; scan_3a
3A	224	NCRF	Runtime (h)	0.13	0.1316416666666666583333333333	REJECTED	results/competitor_logs/ncrf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ncrf_TAG_exp3A_microsatellite_run.log
3A	224	NCRF	Memory (GiB)	17.47	17.46514892578125	REJECTED	results/competitor_logs/ncrf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ncrf_TAG_exp3A_microsatellite_run.log
3A	225	TRASH (de novo)	Total SSR (bp)	47,519,576	47519576	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3A_microsatellite.bed; scan_3a
3A	225	TRASH (de novo)	Regions	3,034	3034	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3A_microsatellite.bed; scan_3a
3A	225	TRASH (de novo)	TAG Arrays	1,893	1893	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3A_microsatellite.bed; scan_3a
3A	225	TRASH (de novo)	Longest TAG (kb)	490.00	489.999	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3A_microsatellite.bed; scan_3a
3A	225	TRASH (de novo)	Runtime (h)	59.9	59.8525	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3A_microsatellite_run.log
3A	225	TRASH (de novo)	Memory (GiB)	12.78	12.778522491455078125	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3A_microsatellite_run.log
3A	226	TRASH (template)	Total SSR (bp)	47,525,434	47525434	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_TAG_exp3A_microsatellite.bed; scan_3a
3A	226	TRASH (template)	Regions	3,016	3016	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_TAG_exp3A_microsatellite.bed; scan_3a
3A	226	TRASH (template)	TAG Arrays	1,884	1884	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_TAG_exp3A_microsatellite.bed; scan_3a
3A	226	TRASH (template)	Longest TAG (kb)	490.00	489.999	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_TAG_exp3A_microsatellite.bed; scan_3a
3A	226	TRASH (template)	Runtime (h)	65.5	65.50333333333333333333333333	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_TAG_exp3A_microsatellite_run.log
3A	226	TRASH (template)	Memory (GiB)	12.78	12.778850555419921875	REJECTED	results/competitor_logs/trash__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_templates_TAG_exp3A_microsatellite_run.log
3A-b	232	ULTRA	Total SSR (bp)	46,963,400	46963400	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a/band_1_6
3A-b	232	ULTRA	Regions	1,114,556	1114556	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a/band_1_6
3A-b	232	ULTRA	TAG arrays	7,031	7031	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a/band_1_6
3A-b	232	ULTRA	Longest TAG (kb)	235.40	235.404	REJECTED	results/regen/maize_extra_evidence.json: table3a/ultra_3a/band_1_6
3A-b	233	BWTandem	Total SSR (bp)	41,313,352	41313352	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt/band_1_6
3A-b	233	BWTandem	Regions	1,508,788	1508788	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt/band_1_6
3A-b	233	BWTandem	TAG arrays	34,247	34247	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt/band_1_6
3A-b	233	BWTandem	Longest TAG (kb)	235.43	235.428	REJECTED	results/regen/maize_extra_evidence.json: table3a/bwt/band_1_6
3A-b	234	tantan	Total SSR (bp)	13,701,969	13701969	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a/band_1_6
3A-b	234	tantan	Regions	751,581	751581	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a/band_1_6
3A-b	234	tantan	TAG arrays	11,752	11752	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a/band_1_6
3A-b	234	tantan	Longest TAG (kb)	235.40	235.404	REJECTED	results/regen/maize_extra_evidence.json: table3a/tantan_3a/band_1_6
3A-b	235	TRF	Total SSR (bp)	4,793,515	4793515	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a/band_1_6
3A-b	235	TRF	Regions	29,559	29559	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a/band_1_6
3A-b	235	TRF	TAG arrays	1,379	1379	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a/band_1_6
3A-b	235	TRF	Longest TAG (kb)	562.79	562.788	REJECTED	results/regen/maize_extra_evidence.json: table3a/trf_3a/band_1_6
3B	250	TRF	knob180 (of 25)	25	25	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	250	TRF	TR-1 (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	250	TRF	knob180 Frag. Score	0.00	0.0	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	250	TRF	knob180 Offset (bp)	651.96	651.96	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	250	TRF	TR-1 Offset (bp)	884.85	884.85	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trf/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	250	TRF	Runtime (h)	5.5	5.514166666666666666666666667	REJECTED	results/competitor_logs/trf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite_run.log
3B	250	TRF	Memory (GiB)	1.20	1.1993560791015625	REJECTED	results/competitor_logs/trf__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trf_exp3B_satellite_run.log
3B	251	ULTRA	knob180 (of 25)	25	25	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize raw calls
3B	251	ULTRA	TR-1 (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize raw calls
3B	251	ULTRA	knob180 Frag. Score	0.00	0.0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize raw calls
3B	251	ULTRA	knob180 Offset (bp)	203.4	203.38	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize raw calls
3B	251	ULTRA	TR-1 Offset (bp)	475.9	475.88	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/beds/ultra_maize_exp3B.bed; pass3-checks.py maize raw calls
3B	251	ULTRA	Runtime (h)	34.7	34.73222222222222222222222222	REJECTED	results/competitor_logs/ultra__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ultra_exp3B_satellite_run.log
3B	251	ULTRA	Memory (GiB)	9.68	9.6768646240234375	REJECTED	results/competitor_logs/ultra__GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_ultra_exp3B_satellite_run.log
3B	252	BWTandem	knob180 (of 25)	25	25	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3B	252	BWTandem	TR-1 (of 17)	17	17	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3B	252	BWTandem	knob180 Frag. Score	0.00	0.0	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3B	252	BWTandem	knob180 Offset (bp)	251.8	251.78	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3B	252	BWTandem	TR-1 Offset (bp)	770.7	770.65	REJECTED	results/beds/bwtandem_maize.bed.gz; pass3-checks.py maize raw calls
3B	252	BWTandem	Runtime (h)	15.9	15.85083333333333333333333333	REJECTED	sacct:6124640.batch
3B	252	BWTandem	Memory (GiB)	28.45	28.449993133544921875	REJECTED	sacct:6124640.batch
3B	253	tantan	knob180 (of 25)	25	25	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize raw calls
3B	253	tantan	TR-1 (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize raw calls
3B	253	tantan	knob180 Frag. Score	0.00	0.0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize raw calls
3B	253	tantan	knob180 Offset (bp)	156.0	156.0	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize raw calls
3B	253	tantan	TR-1 Offset (bp)	658.3	658.32	REJECTED	/data/gpfs/assoc/pgl/devel/exp1_human/wp0/fixcampaign/tantan/tantan_maize_w500.bed; pass3-checks.py maize raw calls
3B	253	tantan	Runtime (h)	3.3	3.283333333333333333333333333	REJECTED	sacct:6085142.batch
3B	253	tantan	Memory (GiB)	0.50	0.4837799072265625	CONFIRMED	sacct:6085142.batch
3B	254	TRASH (de novo)	knob180 (of 25)	25	25	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	254	TRASH (de novo)	TR-1 (of 17)	17	17	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	254	TRASH (de novo)	knob180 Frag. Score	0.05	0.05	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize raw calls
3B	254	TRASH (de novo)	knob180 Offset (bp)	9,845	9845.2	REJECTED	/data/gpfs/assoc/pgl/filip/bwtandem_results/beds/trash/GCA_022117705.1_Zm-Mo17-REFERENCE-CAU-T2T-assembly_genomic_trash_denovo_exp3B_satellite.bed; pass3-checks.py maize raw calls
